2020-02-14 14:47:52,729 [Worker-108] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:webmaventest1:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:47:53,814 [Worker-108] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webmaventest1/src/main/java
2020-02-14 14:47:53,815 [Worker-108] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webmaventest1/src/main/resources
2020-02-14 14:47:53,816 [Worker-108] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webmaventest1/src/test/java
2020-02-14 14:47:53,816 [Worker-108] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webmaventest1/src/test/resources
2020-02-14 14:47:54,407 [Worker-108] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2020-02-14 14:47:56,335 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:47:56,342 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:47:56,344 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:47:56,345 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:12,537 [Worker-110] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:webmaventest1:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:48:13,361 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:13,362 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:13,363 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:13,364 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:13,628 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:13,635 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:13,636 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:13,636 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:33,260 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:33,260 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:48:33,261 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:48:33,262 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
